estacionID,fecha,temp_media,tmax,tmin
OCTMR,08/09/21 0:00,19,24,14
PIXMR,08/09/21 0:00,25.5,31,20
PROMR,08/09/21 0:00,22.5,28,17
RODMR,08/09/21 0:00,24.5,30,19
SLDMR,08/09/21 0:00,19.7,23,16.5
SPHMR,08/09/21 0:00,25.5,31.5,19.5
TEBMR,08/09/21 0:00,22.5,27,18
TEMMR,08/09/21 0:00,22.5,29,16
TETMR,08/09/21 0:00,16.5,20.5,12.5
TICMR,08/09/21 0:00,25.2,30.5,20
TILMR,08/09/21 0:00,25,30,20
TLOMR,08/09/21 0:00,18,23,13
TMCMR,08/09/21 0:00,22.5,29,16
TPLMR,08/09/21 0:00,23.5,28,19
TQGMR,08/09/21 0:00,25,30,20
XICMR,08/09/21 0:00,25,30,20
XXOMR,08/09/21 0:00,24,30,18
YAHMR,08/09/21 0:00,23,27.5,18.5
ZCTMR,08/09/21 0:00,24,30,18
ARBMX,08/09/21 0:00,16.2,22,10.5
ATEMX,08/09/21 0:00,17.2,24,10.5
ATPMX,08/09/21 0:00,14,20,8
CGCMX,08/09/21 0:00,15.5,21,10
CHDMX,08/09/21 0:00,22,29,15
CHPMX,08/09/21 0:00,18.75,26,11.5
CLYMX,08/09/21 0:00,16.5,22,11
CNPMX,08/09/21 0:00,16.5,23,10
COBMX,08/09/21 0:00,13.2,21.2,5.3
DNXMX,08/09/21 0:00,14,24,4
EMOMX,08/09/21 0:00,13.5,23,4
GRDMX,08/09/21 0:00,15,21,9
HPNMX,08/09/21 0:00,13.5,18,9
K27MX,08/09/21 0:00,16.5,23,10
MBLMX,08/09/21 0:00,15,20,10
OBSMX,08/09/21 0:00,16.25,21,11.5
OCUMX,08/09/21 0:00,15.2,21.5,9
PCGMX,08/09/21 0:00,15,25,5
PDZMX,08/09/21 0:00,13,18,8
PFBMX,08/09/21 0:00,11.5,19,4
PMNMX,08/09/21 0:00,14.5,19,10
PNDMX,08/09/21 0:00,12,18,6
PTLMX,08/09/21 0:00,13.5,19,8
SADMX,08/09/21 0:00,16.7,22.5,11
SBBMX,08/09/21 0:00,15,20,10
SJHMX,08/09/21 0:00,11.5,19,4
SLAMX,08/09/21 0:00,16.2,21,11.5
SLBMX,08/09/21 0:00,15,21,9
SNLMX,08/09/21 0:00,17.7,25,10.5
TJCMX,08/09/21 0:00,15.2,21.5,9
